Wall time,Step,Value
1536865351.8727112,0,1.3980724811553955
1536865439.0571668,1,0.807325541973114
1536865525.6985579,2,0.47530385851860046
1536865612.3960912,3,0.31138497591018677
1536865699.1700165,4,0.20767518877983093
1536865786.4025366,5,0.15495608747005463
1536865873.7949886,6,0.12242566794157028
1536865963.7187824,7,0.09266838431358337
1536866050.8468196,8,0.07572685182094574
1536866138.323345,9,0.06126916781067848
